RecipeId,Ingredient
74,skim milk
74,fresh raspberry
75,tomatoes
75,celery
75,onion
75,green pepper
75,salt
75,cider vinegar
75,sugar
75,green chili pepper
76,sweet butter
76,heavy cream
76,parmesan cheese
76,salt
76,pepper
78,garlic
78,salt
78,buttermilk
78,sour cream
78,lime juice
78,parsley
78,chives
79,stewed tomatoes
79,sauerkraut
79,applesauce
79,dark brown sugar
79,beef brisket
80,milk
80,eggs
80,sugar
80,salt
80,real vanilla
80,unsalted butter
81,whole wheat flour
81,flour
81,baking powder
81,salt
81,butter
82,butter
82,flour
82,salt
82,margarine
82,milk
82,water
82,shrimp
82,onion
82,tomatoes
82,parsley
82,lemon
82,salt
82,pepper
82,Tabasco sauce
82,garlic
82,cornstarch
82,olive oil
82,cumin
82,bell peppers
83,baking potatoes
83,unsalted butter
83,heavy cream
83,bacon
83,onion
83,celery
83,sage
83,white pepper
83,Brussels sprout
84,Brussels sprouts
84,fresh dill
84,wine vinegar
85,flour
85,baking powder
85,caster sugar
85,butter
85,eggs
85,milk
85,vanilla essence
86,butter
86,flour
86,sugar
86,baking powder
86,salt
86,milk
87,bittersweet chocolate
87,butter
87,sugar
87,flour
87,eggs
87,vanilla extract
87,rum
87,filter coffee
88,eggs
88,country sausage
88,flour tortillas
89,margarine
89,milk
89,sugar
89,marshmallows
89,coconut
89,sugar
89,margarine
89,evaporated milk
89,vanilla flavoring
89,marshmallow creme
90,fresh lemon juice
90,water
90,sugar
91,brown rice
91,chicken broth
91,unsalted butter
91,oregano
91,marjoram
91,summer savory
91,unsalted butter
91,celery
91,fresh snow pea
91,broccoli floret
91,green onion
91,lemons
91,coconut
92,oranges
92,grapefruit juice
92,seedless grapes
92,honey
92,oranges
92,grapefruit section
92,lemon juice
92,lime juice
92,walnuts
92,apple
93,blue cheese
93,cream cheese
93,half-and-half
93,mushrooms
93,pecan halves
93,fresh basil leaves
94,egg
94,corn syrup
94,lemon juice
94,vanilla
94,brown sugar
94,all-purpose flour
94,blueberries
96,tomato sauce with onion
96,basil leaves
96,oregano leaves
96,Italian pork sausage
96,water
96,olive oil
96,mozzarella cheese
96,romano cheese
96,parmesan cheese
97,garlic
97,egg tomatoes
97,olive oil
97,olive oil
97,red capsicums
97,yellow capsicum
97,fresh basil leaf
97,red wine vinegar
97,brown sugar
97,olive oil
99,cumin seeds
99,fennel seeds
99,garam masala
99,mango powder
99,black salt
99,cayenne pepper
99,asafoetida powder
99,ginger
100,milk
100,eggs
100,evaporated milk
100,butter
100,sugar
100,vanilla
100,nutmeg
100,cinnamon
100,butter
100,sugar
100,water
100,butter
100,sugar
100,water
101,onions
101,gingerroot
101,garlic
101,green serrano chilies
101,tomatoes
101,black cardamom pods
101,cinnamon sticks
101,cloves
101,black peppercorns
101,bay leaves
101,cumin
101,cayenne pepper
101,turmeric
101,plain yogurt
101,dark rum
101,salt
101,cilantro
101,chicken pieces
102,potatoes
102,flour
102,half-and-half
102,cheddar cheese
102,parmesan cheese
102,paprika
103,cabbage
103,onion
103,celery
103,butter
103,beets
103,tomato sauce
103,brown sugar
103,bay leaf
103,rosemary
103,lemon juice
104,flour
104,ground beef
104,onion
104,tomato sauce
104,ketchup
104,salt
104,pepper
104,cheddar cheese
105,halibut steaks
105,extra virgin olive oil
105,mint leaves
105,garlic clove
106,beef
106,black pepper
106,fresh parsley
106,Spanish onion
106,salt
106,cajun-style stewed tomatoes
106,dried thyme leaves
108,flour
108,salt
108,cornmeal
108,shortening
108,cheddar cheese
108,water
108,eggs
108,sugar
108,butter
108,flour
108,buttermilk
108,lemon zest
108,lemon juice
108,sugar
109,lamb
109,parsley
109,fresh thyme
109,lemon
109,rind of
109,garlic
109,cracked black pepper
109,butter
109,lemon juice
109,small potato
109,shallots
109,olive oil
110,beets
110,water
110,fresh dill
110,sour cream
112,butter
112,flour
112,milk
112,chicken broth
112,eggs
112,parmesan cheese
112,butter
112,onion
112,garlic
112,chicken
112,broccoli
112,parsley
112,mozzarella cheese
112,parmesan cheese
112,salt
112,nutmeg
113,all-purpose flour
113,whole wheat flour
113,baking powder
113,baking soda
113,ginger
113,salt
113,carrot
113,plain low-fat yogurt
113,canola oil
113,honey
114,boneless skinless chicken breast halves
114,ham slices
114,swiss cheese
114,all-purpose flour
114,parmesan cheese
114,salt
114,dried sage
114,pepper
114,dry white wine
114,cornstarch
114,water
114,rice
115,littleneck clams
115,extra virgin olive oil
115,garlic
115,Canadian bacon
115,smoked ham
115,dry white vermouth
115,dry white wine
115,bottled clam broth
115,baking potato
115,spaghetti
115,flat leaf parsley
116,all-purpose flour
116,sugar
116,baking powder
116,salt
116,unsalted butter
116,fresh blueberries
116,lemon
116,zest of
116,heavy cream
116,eggs
117,flour
117,baking powder
117,salt
117,vegetable shortening
117,sugar
117,egg
117,milk
117,lemon zest
117,blueberries
118,butter
118,sugar
118,cinnamon
118,nutmeg
118,all-purpose flour
118,tart apples
118,butter
118,eggs
118,milk
118,rum
118,vanilla extract
118,pecans
118,baking powder
118,baking soda
118,salt
119,carrot
119,tahini sesame butter
119,tofunaise
119,mayonnaise
119,raisins
120,carrot
120,eggs
120,sugar
120,all-purpose flour
120,salt
120,baking powder
120,baking soda
120,cinnamon
120,walnuts
120,cream cheese
120,sugar
120,unsalted butter
120,real vanilla
121,cannellini beans
121,ketchup
121,chili powder
121,thyme
121,water
121,bacon bits
121,lamb chop
121,onion
122,sugar
122,flour
122,salt
122,heavy cream
122,unsalted butter
122,pecans
122,vanilla
122,sugar
122,flour
122,cinnamon
122,baking powder
122,salt
122,eggs
122,carrots
122,pecans
122,raisins
122,unsalted butter
122,cream cheese
122,powdered sugar
122,vanilla extract
122,coconut
123,graham crackers
123,butter
123,carrots
123,light cream cheese
123,granulated sugar
123,maple syrup
123,eggs
123,water
123,granulated sugar
123,carrot
124,plain flour
124,salt
124,black pepper
124,egg
124,milk
124,water
125,black-eyed peas
125,onion
125,garlic cloves
125,cumin
125,thyme
125,bay leaf
125,long-grain rice
125,vegetable broth
125,tomatoes
125,allspice
125,salt
126,fettuccine
126,olive oil
126,garlic
126,milk
126,parmesan cheese
126,fresh dill
126,fresh chives
126,nutmeg
126,salt
126,pepper
126,asparagus
126,smoked salmon
126,lemon juice
127,short-grain rice
127,brown sugar
127,butter
127,milk
127,nutmeg
128,frozen yogurt
128,1% low-fat milk
128,applesauce
128,cinnamon
129,frozen limeade concentrate
129,ginger ale
130,green apples
130,self rising flour
130,salt
130,sugar
130,butter
130,water
130,butter
130,brown sugar
130,golden syrup
130,water
131,buttermilk
131,honey
131,butter
131,margarine
131,bread flour
131,rolled oats
131,salt
131,active dry yeast
131,bread machine yeast
133,blueberries
133,water
133,lemons
133,rind of
133,sugar
133,lemon juice
134,bacon
134,olive oil
134,onions
134,paprika
134,cloves
134,nutmeg
134,bay leaf
134,parsley
134,garlic
134,piri-piri
134,red wine
135,powdered sugar
136,cream cheese
136,sugar
136,eggs
136,sour cream
136,vanilla
136,lemon
136,rind of
136,flour
136,blueberries
138,cheese
138,pineapple
139,barbecued chicken
139,coconut
139,unsweetened pineapple slices
139,spring onions
139,curry powder
139,five-spice powder
139,garlic clove
139,fresh ginger
139,mayonnaise
139,coconut milk
141,dry yeast
141,water
141,honey
141,white flour
141,water
141,garlic clove
141,tomatoes
141,tomato sauce
141,mozzarella cheese
141,parmesan cheese
141,romano cheese
141,olive oil
141,salt
141,pepper
141,oregano
141,basil
142,DOLE&reg; Banana
142,sugar
142,margarine
142,eggs
142,amaretto liqueur
142,vanilla extract
142,all-purpose flour
142,baking soda
142,salt
143,cherry tomatoes
143,scallions
143,parsley
143,rosemary
143,garlic
143,extra virgin olive oil
143,extra virgin olive oil
143,garlic
143,provolone cheese
143,parmesan cheese
144,chicken breasts
144,olive oil
144,Velveeta cheese
144,corn
144,seasoning salt
144,parsley flakes
144,pepper
145,butter
145,sugar
145,egg
145,flour
145,baking powder
145,sultana
145,butter
145,golden syrup
145,sugar
